Par,h,Modelo,TRAIN_SIZE,K0,N,RMSE_med,MAE_med,WRMSE_short_med,WRMSE_long_med
USDPEN,1,ARHinc,44,4,245,0.9679,0.772,0.9746,1.0017
USDPEN,1,KernelARH,44,4,245,0.9727,0.7763,0.9972,1.009
USDPEN,1,PA,44,4,245,0.967,0.7657,0.9763,1.0004
USDPEN,1,PM,44,4,245,0.12,0.072,0.1739,0.0734
USDPEN,1,VAR1,44,4,245,7.554,5.9344,9.1117,5.7446
USDPEN,5,ARHinc,44,4,245,0.9998,0.7939,1.0514,1.0174
USDPEN,5,KernelARH,44,4,245,1.0076,0.8076,1.0651,1.0299
USDPEN,5,PA,44,4,245,1.0014,0.7914,1.0496,1.0179
USDPEN,5,PM,44,4,245,0.3227,0.2096,0.402,0.2203
USDPEN,5,VAR1,44,4,245,10.856,8.489,13.9566,9.0388
USDPEN,10,ARHinc,44,4,245,1.043,0.8176,1.1306,1.045
USDPEN,10,KernelARH,44,4,245,1.0566,0.839,1.1562,1.0579
USDPEN,10,PA,44,4,245,1.0394,0.8196,1.1346,1.0454
USDPEN,10,PM,44,4,245,0.4223,0.2879,0.5857,0.3002
USDPEN,10,VAR1,44,4,245,8.9306,6.7529,11.3323,7.1362
