Par,h,Modelo,TRAIN_SIZE,K0,N,Loss,Valor
USDZAR,1,PM,66,5,223,MAE_med,0.1177
USDZAR,1,PM,66,5,223,RMSE_med,0.175
USDZAR,1,PM,66,5,223,WRMSE_long_med,0.1016
USDZAR,1,PM,66,5,223,WRMSE_short_med,0.2738
USDZAR,5,PM,66,4,223,MAE_med,0.2977
USDZAR,5,PM,66,4,223,RMSE_med,0.4172
USDZAR,5,PM,66,4,223,WRMSE_long_med,0.2494
USDZAR,5,PM,66,4,223,WRMSE_short_med,0.6215
USDZAR,10,PM,66,3,223,MAE_med,0.4163
USDZAR,10,PM,66,3,223,RMSE_med,0.5551
USDZAR,10,PM,66,3,223,WRMSE_long_med,0.3581
USDZAR,10,PM,66,3,223,WRMSE_short_med,0.8012
