h,Modelo,bloque,N,Gap_mediana,Prop_mejora
1,ARHinc,inicio,74,0.3772,0
1,ARHinc,medio,74,0.4263,0.014
1,ARHinc,final,75,0.4692,0.04
1,KernelARH,inicio,74,0.3765,0
1,KernelARH,medio,74,0.4397,0
1,KernelARH,final,75,0.4962,0.053
1,PA,inicio,74,0.3736,0
1,PA,medio,74,0.4269,0
1,PA,final,75,0.4733,0
1,VAR1,inicio,74,20.6196,0
1,VAR1,medio,74,11.1532,0
1,VAR1,final,75,14.4206,0
5,ARHinc,inicio,74,0.2715,0
5,ARHinc,medio,74,0.3135,0
5,ARHinc,final,75,0.323,0.013
5,KernelARH,inicio,74,0.3153,0.068
5,KernelARH,medio,74,0.3531,0
5,KernelARH,final,75,0.3803,0.027
5,PA,inicio,74,0.2628,0
5,PA,medio,74,0.316,0
5,PA,final,75,0.3163,0.013
5,VAR1,inicio,74,22.8657,0
5,VAR1,medio,74,8.5958,0.014
5,VAR1,final,75,29.1576,0.013
10,ARHinc,inicio,74,0.2488,0
10,ARHinc,medio,74,0.2642,0.027
10,ARHinc,final,75,0.2786,0.107
10,KernelARH,inicio,74,0.2396,0.108
10,KernelARH,medio,74,0.2984,0.054
10,KernelARH,final,75,0.3784,0.04
10,PA,inicio,74,0.2516,0.014
10,PA,medio,74,0.2622,0.027
10,PA,final,75,0.2788,0.08
10,VAR1,inicio,74,12.9441,0
10,VAR1,medio,74,6.2489,0.054
10,VAR1,final,75,6.8849,0.027
