Par,h,fecha,Modelo,TRAIN_SIZE,K0,RMSE,MAE,WRMSE_short,WRMSE_long
USDZAR,1,2025-05-07,PM,66,5,0.0975704873412037,0.07384615384615387,0.1249701023940722,0.07462089937108043
USDZAR,1,2025-05-07,PA,66,5,0.5084693040666854,0.39995309760494624,0.5059942185785719,0.5116887514570115
USDZAR,1,2025-05-07,VAR1,66,5,19.393103739964875,14.946859773052084,27.990706887042624,12.574886174111366
USDZAR,1,2025-05-07,ARHinc,66,5,0.4899411952238071,0.3903091753745578,0.46110297795301114,0.5085734687363439
USDZAR,1,2025-05-07,KernelARH,66,5,0.49380989035508227,0.399332182525411,0.4548194409672697,0.5158123120684335
USDZAR,5,2025-05-13,PM,66,4,0.8149185306142336,0.6149999999999999,1.2679414351388445,0.4478384906781726
USDZAR,5,2025-05-13,PA,66,4,0.9747263109402512,0.7700320460897094,1.3893150346117351,0.6873787354908244
USDZAR,5,2025-05-13,VAR1,66,4,31.22988461744536,23.89821287838052,44.35906821135257,19.164658346218143
USDZAR,5,2025-05-13,ARHinc,66,4,0.9958992779231471,0.7839776248014102,1.4269580335504015,0.695145301086251
USDZAR,5,2025-05-13,KernelARH,66,4,0.5880602454616889,0.47407855929400233,0.7128421448018639,0.5432614747455237
USDZAR,10,2025-05-20,PM,66,3,0.6211920921781082,0.5158846153846153,0.8473009338264741,0.4208813336145752
USDZAR,10,2025-05-20,PA,66,3,0.8428516573958877,0.6964172674268923,1.0714441356981097,0.677163162138552
USDZAR,10,2025-05-20,VAR1,66,3,14.456802208443886,11.780751986803471,20.386068690473763,9.023507421909075
USDZAR,10,2025-05-20,ARHinc,66,3,0.8482395067429185,0.6975129304360543,1.0893078024033103,0.6760049545671961
USDZAR,10,2025-05-20,KernelARH,66,3,0.49640165588151797,0.40480171900118345,0.46484755361474167,0.5266536796988428
USDZAR,1,2025-05-08,PM,66,5,0.1932849878766106,0.13392307692307667,0.29739173097928445,0.10283535667504393
USDZAR,1,2025-05-08,PA,66,5,0.5574187194206166,0.4436917091182502,0.6273318093624838,0.5237820851067583
USDZAR,1,2025-05-08,VAR1,66,5,16.031996353050303,12.342077198224572,23.18551506167195,10.350215749989845
USDZAR,1,2025-05-08,ARHinc,66,5,0.5496459816515624,0.4367040905888408,0.6118946650487453,0.5216103830005039
USDZAR,1,2025-05-08,KernelARH,66,5,0.5630628116169151,0.4513172526459223,0.6446615748306351,0.5244224909379549
USDZAR,5,2025-05-14,PM,66,4,0.7742988764036793,0.5955769230769233,1.1640235407439634,0.438533887873151
USDZAR,5,2025-05-14,PA,66,4,0.9345412638821406,0.7513272725105957,1.2856134856150803,0.6809402925077565
USDZAR,5,2025-05-14,VAR1,66,4,25.663430145309782,19.908920879673463,36.15027446871278,16.184925179991062
USDZAR,5,2025-05-14,ARHinc,66,4,0.932092088241186,0.7472250073098617,1.2872059982387005,0.6771415618267934
USDZAR,5,2025-05-14,KernelARH,66,4,0.8190649482210386,0.6623354491975917,1.0828868048524891,0.6393991597407149
USDZAR,10,2025-05-21,PM,66,3,0.4528720845890149,0.3512692307692305,0.6413769546217355,0.3022658755594821
USDZAR,10,2025-05-21,PA,66,3,0.7100867155325417,0.5791356034278574,0.8985647339064692,0.5959167362074247
USDZAR,10,2025-05-21,VAR1,66,3,11.577803662580786,9.394483570869244,16.363352575568904,7.199041804917516
USDZAR,10,2025-05-21,ARHinc,66,3,0.7118254053172208,0.579989434889927,0.9049168269819081,0.5954058351989734
USDZAR,10,2025-05-21,KernelARH,66,3,0.5256659385859613,0.43091206066900295,0.5189407465238358,0.5377253990908808
USDZAR,1,2025-05-09,PM,66,5,0.18179645739968897,0.14292307692307685,0.21654272889589238,0.1761234019297501
USDZAR,1,2025-05-09,PA,66,5,0.5194426178982426,0.4096285133031425,0.49376959507415924,0.5514380902031568
USDZAR,1,2025-05-09,VAR1,66,5,35.054117504465665,26.992944119914313,50.59136877541717,23.170410970031458
USDZAR,1,2025-05-09,ARHinc,66,5,0.5296688995516585,0.4215142594130309,0.5270687008872295,0.55098945403124
USDZAR,1,2025-05-09,KernelARH,66,5,0.532168687586128,0.4282275279720485,0.5374775807833901,0.544328260540478
USDZAR,5,2025-05-15,PM,66,4,0.5130722415021107,0.4300384615384618,0.6509593607916632,0.36101885344048656
USDZAR,5,2025-05-15,PA,66,4,0.7066518902556085,0.5884258854970198,0.7856959590157493,0.6334075352072139
USDZAR,5,2025-05-15,VAR1,66,4,52.48197115556352,40.87911874982309,73.76081225794124,33.44607433585187
USDZAR,5,2025-05-15,ARHinc,66,4,0.6819525405254986,0.5671729483461089,0.7508783040609452,0.618922660373516
USDZAR,5,2025-05-15,KernelARH,66,4,0.7896475731279424,0.6510546461927018,0.9376891149824825,0.6651603211800987
USDZAR,10,2025-05-22,PM,66,3,0.2757809714805741,0.223,0.33676275414267554,0.21642852559877568
USDZAR,10,2025-05-22,PA,66,3,0.5948739063743284,0.4819606836854003,0.6577227964575629,0.5618634672168986
USDZAR,10,2025-05-22,VAR1,66,3,23.777638460673735,19.332078400492215,33.53545445351723,14.802730258551774
USDZAR,10,2025-05-22,ARHinc,66,3,0.5856334663285984,0.47324459162339194,0.6404307593169382,0.5582235009574558
USDZAR,10,2025-05-22,KernelARH,66,3,0.5349247629608334,0.4433337610671055,0.532796277869272,0.5425433008590637
USDZAR,1,2025-05-12,PM,66,5,0.313549391888816,0.2634230769230772,0.43497485087642285,0.26588843335182044
USDZAR,1,2025-05-12,PA,66,5,0.5983210217771856,0.47785704458153777,0.6870118576663269,0.5798147785174191
USDZAR,1,2025-05-12,VAR1,66,5,32.002623155083796,24.432903710577797,46.59529670530306,20.55820885121297
USDZAR,1,2025-05-12,ARHinc,66,5,0.6523760651398203,0.5172091950096243,0.8085449663666234,0.5873542897094136
USDZAR,1,2025-05-12,KernelARH,66,5,0.5857563591339106,0.46877176246364866,0.669772815105176,0.568742779581283
USDZAR,5,2025-05-16,PM,66,4,0.4184229204819157,0.39034615384615406,0.45013502979740183,0.3618715078199284
USDZAR,5,2025-05-16,PA,66,4,0.7100410349186336,0.5879524036207953,0.7793893745128488,0.6369056164891707
USDZAR,5,2025-05-16,VAR1,66,4,45.95025169265482,35.70504975905206,65.16894839023958,28.680863792059103
USDZAR,5,2025-05-16,ARHinc,66,4,0.7133601167972755,0.5912013632606675,0.7795622120528762,0.640472272934165
USDZAR,5,2025-05-16,KernelARH,66,4,0.7775073071365627,0.6429131180265149,0.8977181550057163,0.665620375524685
USDZAR,10,2025-05-23,PM,66,3,0.19050035332089194,0.1616923076923078,0.18440915486684387,0.18551092664485166
USDZAR,10,2025-05-23,PA,66,3,0.5759432733600045,0.47274292719857175,0.6145475115228979,0.5613961361978312
USDZAR,10,2025-05-23,VAR1,66,3,22.116811376946526,17.975398995246785,31.196383578092213,13.766529414829284
USDZAR,10,2025-05-23,ARHinc,66,3,0.5669945254824003,0.4649214288863546,0.5966410758540122,0.5581713276936044
USDZAR,10,2025-05-23,KernelARH,66,3,0.5485552964865182,0.45267466810174173,0.5457234028315189,0.5559445879014411
USDZAR,1,2025-05-13,PM,66,5,0.19960959492122463,0.16315384615384598,0.28097605910496004,0.14962571227966398
USDZAR,1,2025-05-13,PA,66,5,0.5362864469075259,0.4358585076015296,0.5654902536980844,0.5402107338595545
USDZAR,1,2025-05-13,VAR1,66,5,43.50819424077128,33.05400583469865,63.58244186636759,27.480717205111407
USDZAR,1,2025-05-13,ARHinc,66,5,0.49914070821934164,0.40681018503767635,0.4751883952022088,0.5245707146486517
USDZAR,1,2025-05-13,KernelARH,66,5,0.5591491579585551,0.4587048786071132,0.6358786606017545,0.5394420216201957
USDZAR,5,2025-05-19,PM,66,4,0.20039528245637214,0.1666538461538461,0.2109368358303558,0.1837599044123708
USDZAR,5,2025-05-19,PA,66,4,0.5138453016166676,0.41649781101865135,0.4660742299334977,0.5435371235221219
USDZAR,5,2025-05-19,VAR1,66,4,64.48735758554629,50.87226001599887,91.2848690824553,40.90553478813812
USDZAR,5,2025-05-19,ARHinc,66,4,0.5049634673830556,0.41260481051777487,0.46429737684759964,0.5339277182296186
USDZAR,5,2025-05-19,KernelARH,66,4,0.593677481150957,0.48881193899013814,0.6371836565992192,0.5744473883315049
USDZAR,10,2025-05-26,PM,66,3,0.43064229757600264,0.3154230769230768,0.6444383394026298,0.2682843422856907
USDZAR,10,2025-05-26,PA,66,3,0.5510012171932672,0.4610768686892001,0.5775216946467312,0.543883850840069
USDZAR,10,2025-05-26,VAR1,66,3,36.65621377017264,29.825290546001717,51.66100965463658,22.839211130822054
USDZAR,10,2025-05-26,ARHinc,66,3,0.5632867903167772,0.46969487606632593,0.6017367831357092,0.5475987109816308
USDZAR,10,2025-05-26,KernelARH,66,3,0.6417487412914438,0.5271055002656923,0.735476314917889,0.5790958095541099
USDZAR,1,2025-05-14,PM,66,5,0.10116437500044559,0.07434615384615394,0.1302957774910579,0.0694300287345713
USDZAR,1,2025-05-14,PA,66,5,0.498554841340722,0.409974752098363,0.45430544285457425,0.5291913358411615
USDZAR,1,2025-05-14,VAR1,66,5,50.48661608249221,38.18087260204758,73.67899062791672,32.52963681185561
USDZAR,1,2025-05-14,ARHinc,66,5,0.5002070733729286,0.4112865569527854,0.457568377155909,0.5302981379429286
USDZAR,1,2025-05-14,KernelARH,66,5,0.5397720021309199,0.4417060166984012,0.5586472505066543,0.5403637406863637
USDZAR,5,2025-05-20,PM,66,4,0.2984409811516664,0.19750000000000015,0.4920321911702569,0.1533738045038326
USDZAR,5,2025-05-20,PA,66,4,0.5571507673649413,0.4587293726955115,0.6125314227611072,0.5416655732896762
USDZAR,5,2025-05-20,VAR1,66,4,66.27844736724374,52.82463108851199,94.04136944665167,41.8284552293942
USDZAR,5,2025-05-20,ARHinc,66,4,0.5529343177324737,0.45498140035665835,0.5990283097982475,0.5423636163735924
USDZAR,5,2025-05-20,KernelARH,66,4,0.516721790007351,0.4198307887294209,0.4871089923564379,0.5424927029441099
USDZAR,10,2025-05-27,PM,66,3,0.17734107186219106,0.14019230769230775,0.24723920096685964,0.11985948456394059
USDZAR,10,2025-05-27,PA,66,3,0.5028765417686905,0.41519232831570907,0.4615333681971982,0.5322105277563769
USDZAR,10,2025-05-27,VAR1,66,3,45.52953339769301,37.03856366266404,64.23479233015378,28.32383991909166
USDZAR,10,2025-05-27,ARHinc,66,3,0.5061711255153895,0.4179854909279881,0.4696845334997857,0.532060581489994
USDZAR,10,2025-05-27,KernelARH,66,3,0.5016120877656307,0.412603181429119,0.4735939205914697,0.5293018677118332
USDZAR,1,2025-05-15,PM,66,5,0.2080342982076977,0.14734615384615393,0.329495354924262,0.12260507907248465
USDZAR,1,2025-05-15,PA,66,5,0.5097580587910271,0.4170215651243164,0.4920564998186073,0.5341217429751638
USDZAR,1,2025-05-15,VAR1,66,5,31.363347817187663,23.536271834641987,46.05232621019285,19.641961700434543
USDZAR,1,2025-05-15,ARHinc,66,5,0.5067234369582001,0.41494940880031117,0.4841718812990846,0.5325120142692238
USDZAR,1,2025-05-15,KernelARH,66,5,0.5050406990734384,0.41355838331324735,0.46539028002432425,0.5348558274542841
USDZAR,5,2025-05-21,PM,66,4,0.3992120243487357,0.293192307692308,0.5879759125360403,0.23026925963832034
USDZAR,5,2025-05-21,PA,66,4,0.6057807630303844,0.49834456691482404,0.6824595566954437,0.5652597066207823
USDZAR,5,2025-05-21,VAR1,66,4,39.78525025414589,32.00779687459707,56.3025621980797,25.40721905175163
USDZAR,5,2025-05-21,ARHinc,66,4,0.6041792491647412,0.4955165023787691,0.6771367044312373,0.5650792550756913
USDZAR,5,2025-05-21,KernelARH,66,4,0.5301858259827176,0.4282517842568906,0.5358264379748965,0.5367664188932891
USDZAR,10,2025-05-28,PM,66,3,0.14004686715524922,0.11457692307692323,0.17814164948146197,0.11436333085801398
USDZAR,10,2025-05-28,PA,66,3,0.5152146212355188,0.421337011110831,0.5210731818370145,0.5355466516812742
USDZAR,10,2025-05-28,VAR1,66,3,27.24375523713995,22.130298647830973,38.51962698543294,16.898818809806418
USDZAR,10,2025-05-28,ARHinc,66,3,0.5205020701193477,0.4262493365449461,0.5377540656321552,0.5363430983000598
USDZAR,10,2025-05-28,KernelARH,66,3,0.5242350822167481,0.42826908476004005,0.54984173291053,0.5366514678250801
USDZAR,1,2025-05-16,PM,66,5,0.0573824048347171,0.04230769230769208,0.06998695654929385,0.04942663548906234
USDZAR,1,2025-05-16,PA,66,5,0.5034120002965251,0.4136855772091785,0.4575418417179906,0.5376869194419976
USDZAR,1,2025-05-16,VAR1,66,5,13.484923691002932,9.997299527390405,19.960524461561224,8.095939740760361
USDZAR,1,2025-05-16,ARHinc,66,5,0.5033934747917789,0.4147332858878075,0.45936836685840976,0.5384803664507571
USDZAR,1,2025-05-16,KernelARH,66,5,0.5066419398793963,0.40822209026712003,0.45777362932779214,0.5412984799372673
