h,Modelo,K0,TRAIN_SIZE,N,Mediana,P25,P75,DM_stat,DM_pval,sig
1,PM,5,66,223,0.175,0.1104,0.2852,NA,NA,
1,PA,5,66,223,0.6052,0.5467,0.6663,-28.282,0,***
1,VAR1,5,66,223,14.2564,5.6383,31.683,-1.829,0.0687,*
1,ARHinc,5,66,223,0.6088,0.5465,0.6681,-7.637,0,***
1,KernelARH,5,66,223,0.6193,0.5557,0.6812,-2.807,0.0055,***
5,PM,4,66,223,0.4172,0.2906,0.6153,NA,NA,
5,PA,4,66,223,0.7153,0.6123,0.8563,-6.034,0,***
5,VAR1,4,66,223,20.6145,5.7276,41.7222,-1.414,0.1588,
5,ARHinc,4,66,223,0.7071,0.6174,0.8779,-2.096,0.0372,**
5,KernelARH,4,66,223,0.7253,0.6406,0.9023,-1.165,0.2453,
10,PM,3,66,223,0.5551,0.3868,0.8219,NA,NA,
10,PA,3,66,223,0.7836,0.6516,1.0095,-5.43,0,***
10,VAR1,3,66,223,9.2332,2.6991,23.0503,-1.275,0.2036,
10,ARHinc,3,66,223,0.7759,0.6443,1.0104,-2.096,0.0372,**
10,KernelARH,3,66,223,0.8464,0.6476,1.122,-1.087,0.2783,
