h,Modelo,bloque,N,Mediana,P75
1,ARHinc,inicio,74,0.5497,0.5952
1,ARHinc,medio,74,0.5877,0.637
1,ARHinc,final,75,0.6687,0.7337
1,KernelARH,inicio,74,0.5585,0.5904
1,KernelARH,medio,74,0.6062,0.675
1,KernelARH,final,75,0.6742,0.7611
1,PA,inicio,74,0.5523,0.5851
1,PA,medio,74,0.5846,0.633
1,PA,final,75,0.664,0.7274
1,PM,inicio,74,0.1621,0.2781
1,PM,medio,74,0.1578,0.2229
1,PM,final,75,0.1958,0.3617
1,VAR1,inicio,74,20.7549,31.2527
1,VAR1,medio,74,11.291,19.8307
1,VAR1,final,75,14.6147,45.6733
5,ARHinc,inicio,74,0.638,0.7463
5,ARHinc,medio,74,0.6521,0.7668
5,ARHinc,final,75,0.8846,1.112
5,KernelARH,inicio,74,0.652,0.7764
5,KernelARH,medio,74,0.6912,0.8487
5,KernelARH,final,75,0.9076,1.2434
5,PA,inicio,74,0.6427,0.7421
5,PA,medio,74,0.6559,0.7577
5,PA,final,75,0.8869,1.0676
5,PM,inicio,74,0.3924,0.5545
5,PM,medio,74,0.3645,0.4919
5,PM,final,75,0.5469,0.8237
5,VAR1,inicio,74,23.2339,39.7124
5,VAR1,medio,74,9.1944,27.8096
5,VAR1,final,75,29.4915,66.7582
10,ARHinc,inicio,74,0.6382,0.7514
10,ARHinc,medio,74,0.7717,0.902
10,ARHinc,final,75,1.1739,2.1084
10,KernelARH,inicio,74,0.6371,0.8071
10,KernelARH,medio,74,0.7818,0.9958
10,KernelARH,final,75,1.3848,2.2711
10,PA,inicio,74,0.6457,0.7337
10,PA,medio,74,0.7595,0.8932
10,PA,final,75,1.1307,2.0093
10,PM,inicio,74,0.3927,0.5583
10,PM,medio,74,0.4973,0.6959
10,PM,final,75,0.9415,1.6018
10,VAR1,inicio,74,13.8661,24.057
10,VAR1,medio,74,6.8538,15.1644
10,VAR1,final,75,7.8624,31.6977
