Par,h,Modelo,TRAIN_SIZE,K0,N,RMSE_med,MAE_med,WRMSE_short_med,WRMSE_long_med
USDZAR,1,ARHinc,66,5,223,0.6088,0.4959,0.6011,0.6312
USDZAR,1,KernelARH,66,5,223,0.6193,0.5023,0.6146,0.6385
USDZAR,1,PA,66,5,223,0.6052,0.4943,0.6,0.6302
USDZAR,1,PM,66,5,223,0.175,0.1177,0.2738,0.1016
USDZAR,1,VAR1,66,5,223,14.2564,11.0475,18.2039,10.3502
USDZAR,5,ARHinc,66,4,223,0.7071,0.57,0.7903,0.6761
USDZAR,5,KernelARH,66,4,223,0.7253,0.5893,0.833,0.691
USDZAR,5,PA,66,4,223,0.7153,0.5793,0.7932,0.6767
USDZAR,5,PM,66,4,223,0.4172,0.2977,0.6215,0.2494
USDZAR,5,VAR1,66,4,223,20.6145,15.1438,26.2713,13.0525
USDZAR,10,ARHinc,66,3,223,0.7759,0.6293,0.9436,0.7234
USDZAR,10,KernelARH,66,3,223,0.8464,0.6719,0.9924,0.7838
USDZAR,10,PA,66,3,223,0.7836,0.6333,0.9439,0.7173
USDZAR,10,PM,66,3,223,0.5551,0.4163,0.8012,0.3581
USDZAR,10,VAR1,66,3,223,9.2332,8.4546,10.7826,6.9795
