W,h,K0,PM,MejorModelo,MejorDyn,Gap_vs_PM
44,1,4,0.1813798606410145,PA,0.6078059429166379,0.4264260822756234
44,5,3,0.42230878695388463,PA,0.7102725980413508,0.28796381108746616
44,10,8,0.5750636252423927,PA,0.7918855159759628,0.21682189073357006
66,1,5,0.175037770649212,PA,0.6052242299880056,0.4301864593387936
66,5,4,0.41716649507766623,ARHinc,0.7071229364016459,0.2899564413239797
66,10,3,0.555071028026005,ARHinc,0.7759234839211058,0.22085245589510072
88,1,7,0.17835775953015173,ARHinc,0.6149039814920262,0.4365462219618744
88,5,3,0.4210632717848396,PA,0.7207671369133218,0.29970386512848224
88,10,3,0.5706008978396238,ARHinc,0.7854462112650702,0.21484531342544644
110,1,6,0.17096769262956354,ARHinc,0.6207968755364721,0.44982918290690854
110,5,5,0.42537472168213497,PA,0.7229944074000357,0.29761968571790076
110,10,4,0.5905038591680059,PA,0.8312642875228651,0.24076042835485922
132,1,8,0.17392471846263743,PA,0.6304140524609254,0.45648933399828795
132,5,5,0.41423434931671965,PA,0.7352906905434691,0.3210563412267494
132,10,5,0.6175827568338201,ARHinc,0.8654472934968542,0.2478645366630341
154,1,5,0.1876580103436937,PA,0.6392728937244825,0.4516148833807888
154,5,5,0.4589618301541661,PA,0.7523926155755108,0.29343078542134476
154,10,5,0.6909438221625659,ARHinc,0.9268125017592566,0.23586867959669067
176,1,5,0.2004962593167263,PA,0.6542277343072589,0.45373147499053257
176,5,5,0.4920301350996236,PA,0.7756405484608718,0.2836104133612482
176,10,5,0.7295505399796615,PA,0.9512047227898587,0.22165418281019722
198,1,5,0.19584972653699412,PA,0.660248536904576,0.46439881036758185
198,5,5,0.5171378796205722,PA,0.791741592054964,0.27460371243439174
198,10,5,0.7862399870953476,PA,0.984932522282759,0.19869253518741137
